Time,x,y,z,dx,dy,dz
2014-03-07 16:00:13.406000,18119.056458918429,38079.921495644267,709.22170047005716,0.0020313437954936724,-0.00083822739648103039,0.071103165127137144
2014-03-07 16:00:17.430000,18119.064817950675,38079.91802634651,709.50613662127557,0.0020311862700910514,-0.00083871479161290257,0.07108809362701865
2014-03-07 16:00:17.906000,18119.064817950675,38079.91802634651,709.50613662127557,0.0020311862700910514,-0.00083871479161290257,0.07108809362701865
2014-03-07 16:00:18.406000,18119.066907589022,38079.917158726232,709.57723552623042,0.0020311468671648241,-0.000838836577660105,0.071084324846095448
2014-03-07 16:00:22.906000,18119.07526574947,38079.913687026485,709.86159346455372,0.0020309891676640324,-0.00083932347580567123,0.071069245947868093
2014-03-07 16:00:23.407000,18119.077355190679,38079.912818797333,709.93267352687315,0.0020309497208556961,-0.00083944513882939912,0.07106547527977794
2014-03-07 16:00:27.741000,18119.085712645814,38079.909344628606,710.2169589348905,0.0020307918443965415,-0.00083993154975764309,0.071050388682111179
2014-03-07 16:00:27.901000,18119.085712645814,38079.909344628606,710.2169589348905,0.0020307918443965415,-0.00083993154975764309,0.071050388682111179
2014-03-07 16:00:28.061000,18119.087801889254,38079.908475791395,710.28802014498706,0.0020307523537859296,-0.00084005308975217,0.071046616127340617
2014-03-07 16:00:28.221000,18119.087801889254,38079.908475791395,710.28802014498706,0.0020307523537859296,-0.00084005308975217,0.071046616127340617
2014-03-07 16:00:28.405000,18119.087801889254,38079.908475791395,710.28802014498706,0.0020307523537859296,-0.00084005308975217,0.071046616127340617
2014-03-07 16:00:28.541000,18119.087801889254,38079.908475791395,710.28802014498706,0.0020307523537859296,-0.00084005308975217,0.071046616127340617
2014-03-07 16:00:32.406000,18119.09615855501,38079.904999190607,710.57223012448355,0.002030594302262519,-0.00084053900853699886,0.071031521983880838
2014-03-07 16:01:16.406000,18119.188039581572,38079.866628824544,713.69453590506419,0.0020288465587118818,-0.00084585810099337393,0.070865089128412981
2014-03-07 16:01:16.906000,18119.188039581572,38079.866628824544,713.69453590506419,0.0020288465587118818,-0.00084585810099337393,0.070865089128412981
2014-03-07 16:01:19.906000,18119.19430135698,38079.864004166011,713.90715241432895,0.0020287267855753641,-0.00084621902900532098,0.070853714946817276
2014-03-07 16:01:20.906000,18119.196388535813,38079.863129039033,713.97801700305786,0.002028686844004605,-0.00084633928910349179,0.07084992280043334
2014-03-07 16:01:24.241000,18119.204736934502,38079.859627293714,714.26144029323484,0.0020285269902524305,-0.0008468200881332922,0.070834750300203683
2014-03-07 16:01:24.401000,18119.204736934502,38079.859627293714,714.26144029323484,0.0020285269902524305,-0.0008468200881332922,0.070834750300203683
2014-03-07 16:01:24.561000,18119.204736934502,38079.859627293714,714.26144029323484,0.0020285269902524305,-0.0008468200881332922,0.070834750300203683
2014-03-07 16:01:24.721000,18119.204736934502,38079.859627293714,714.26144029323484,0.0020285269902524305,-0.0008468200881332922,0.070834750300203683
2014-03-07 16:01:24.881000,18119.204736934502,38079.859627293714,714.26144029323484,0.0020285269902524305,-0.0008468200881332922,0.070834750300203683
2014-03-07 16:01:25.041000,18119.206823913537,38079.85875156548,714.33228592234332,0.0020284870057653112,-0.00084694022513101823,0.070830956272878137
2014-03-07 16:01:28.906000,18119.213084609335,38079.856123660487,714.54480005003643,0.0020283670008663006,-0.00084730048839800373,0.070819571934233674
2014-03-07 16:06:34.906000,18119.84974738934,38079.582515515009,736.04019135441808,0.0020157363300559493,-0.00088288261977359744,0.06964068095612283
2014-03-07 16:06:35.406000,18119.851821658154,38079.58160367667,736.10984602559552,0.0020156938344950536,-0.00088299512062045928,0.069636771149368254
2014-03-07 16:06:35.907000,18119.851821658154,38079.58160367667,736.10984602559552,0.0020156938344950536,-0.00088299512062045928,0.069636771149368254
2014-03-07 16:06:36.407000,18119.853895801261,38079.580691762392,736.17949398570795,0.0020156513330345694,-0.00088310759227692027,0.069632861130135962
2014-03-07 16:06:40.907000,18119.86219194992,38079.577042979654,736.45804673215173,0.0020154812511208107,-0.00088355723224645371,0.069617217355938885
2014-03-07 16:06:41.409000,18119.864265880857,38079.57613050285,736.52767514341451,0.0020154387116431112,-0.00088366958057678046,0.069613305488176638
2014-03-07 16:06:41.906000,18119.864265880857,38079.57613050285,736.52767514341451,0.0020154387116431112,-0.00088366958057678046,0.069613305488176638
2014-03-07 16:06:42.406000,18119.866339851927,38079.575217877296,736.59730244494676,0.00201539616286027,-0.00088378190876011538,0.069609393093360922
2014-03-07 16:06:46.416000,18119.874634979507,38079.571566397317,736.87576132966467,0.0020152258986989315,-0.00088423095675925316,0.069593740447659078
2014-03-07 16:06:46.906000,18119.874634979507,38079.571566397317,736.87576132966467,0.0020152258986989315,-0.00088423095675925316,0.069593740447659078
2014-03-07 16:06:47.406000,18119.876708654578,38079.570653246781,736.9453662699508,0.0020151833137050643,-0.00088434315709525466,0.069589826362332935
2014-03-07 16:06:47.907000,18119.876708654578,38079.570653246781,736.9453662699508,0.0020151833137050643,-0.00088434315709525466,0.069589826362332935
2014-03-07 16:06:52.906000,18119.887076475468,38079.56608577376,737.29333506710805,0.0020149702734549163,-0.00088490379329767975,0.069570250235781367
2014-03-07 16:06:53.406000,18119.889149894916,38079.565171950169,737.36291652311138,0.0020149276430563787,-0.00088501584563901916,0.069566333933641339
2014-03-07 16:06:53.906000,18119.889149894916,38079.565171950169,737.36291652311138,0.0020149276430563787,-0.00088501584563901916,0.069566333933641339
