Time,x,y,z,dx,dy,dz
2014-03-07 16:00:00,18119.029250611668,38079.932775042893,708.29687149999995,0.0020318554619734642,-0.00083664064726976734,0.071152106000000007
2014-03-07 16:05:00,18119.654609057572,38079.667707541223,729.47548199000005,0.0020196961558445361,-0.00087219787566431884,0.070006535999999994
2014-03-07 16:10:00,18120.27609904746,38079.392354382915,750.30549368000004,0.0020068262874583863,-0.00090553677589098327,0.068827510999999994
2014-03-07 16:15:00,18120.893742927285,38079.10727515343,770.77695249999999,0.0019933285207554474,-0.00093665516915094759,0.067615595000000001
2014-03-07 16:20:00,18121.507141165421,38078.8132416222,790.88007608999999,0.0019792852384523064,-0.00096555784169191205,0.066371369999999999
2014-03-07 16:25:00,18122.116365948874,38078.510811187283,810.60525844999995,0.0019647790503616609,-0.00099225306238302563,0.065095428999999996
2014-03-07 16:30:00,18122.721067272825,38078.200750794393,829.94307447999995,0.0019498929252771361,-0.0010167531675292424,0.063788384999999989
2014-03-07 16:35:00,18123.32125461497,38077.883663547087,848.88428451000004,0.0019347071275145329,-0.0010390746481981398,0.06245086200000001
2014-03-07 16:40:00,18123.916961522722,38077.560146880824,867.41983861999995,0.0019193008796951794,-0.0010592378417049987,0.061083500999999998
2014-03-07 16:45:00,18124.507910068296,38077.230950851859,885.54088098,0.0019037518064231806,-0.0010772691817983622,0.059686955000000007
2014-03-07 16:50:00,18125.094292393525,38076.896604686532,903.23875403,0.0018881368538135306,-0.0010931972382208928,0.058261892999999995
2014-03-07 16:55:00,18125.675876596419,38076.557840947149,920.50500262000003,0.001872532616376298,-0.0011070550286625871,0.056808996000000007
2014-03-07 17:00:00,18126.252899815121,38076.215168957679,937.33137796999995,0.0018570099336129378,-0.0011188794318306666,0.055328958999999997
2014-03-07 17:05:00,18126.825173994042,38075.869299054662,953.70984161000001,0.0018416409388319827,-0.0011287119574348657,0.053822489000000001
2014-03-07 17:10:00,18127.392978963715,38075.520716046631,969.63256921000004,0.0018264957347869145,-0.001136596459352943,0.052290306000000002
2014-03-07 17:15:00,18127.956168042685,38075.170103568918,985.09195424999996,0.0018116386414641493,-0.0011425820019338869,0.050733143999999994
2014-03-07 17:20:00,18128.514949314093,38074.817970738717,1000.08061166,0.0017971355334308707,-0.0011467197386851964,0.049151744999999997
2014-03-07 17:25:00,18129.06954973493,38074.464810695659,1014.5913813,0.0017830476487439161,-0.0011490642995512542,0.047546866000000007
2014-03-07 17:30:00,18129.61987920231,38074.11125916642,1028.6173313700001,0.0017694325634901933,-0.0011496743492322519,0.045919273000000004
2014-03-07 17:35:00,18130.166311669644,38073.757721273214,1042.15176167,0.0017563490604101794,-0.0011486104685026375,0.044269743
2014-03-07 17:40:00,18130.708790629313,38073.40479608014,1055.1882067900001,0.0017438472083422649,-0.001145936617931848,0.042599065999999998
2014-03-07 17:45:00,18131.247721813663,38073.052850274886,1067.72043921,0.0017319778635539007,-0.001141719927862781,0.040908038000000001
2014-03-07 17:50:00,18131.783078634402,38072.702442886017,1079.7424721499999,0.0017207880006319303,-0.0011360305650500609,0.039197467
2014-03-07 17:55:00,18132.315294830838,38072.353898968453,1091.24856254,0.0017103215059399157,-0.0011289392830472194,0.037468170000000002
2014-03-07 18:00:00,18132.844369838083,38072.007734488318,1102.2332136,0.0017006174388623347,-0.00112052070368177,0.035720973000000003
2014-03-07 18:05:00,18133.370649654084,38071.664283250204,1112.6911775799999,0.0016917114429223282,-0.0011108512318646212,0.033956709000000002
2014-03-07 18:10:00,18133.894490699477,38071.32385594376,1122.61745812,0.0016836383498664671,-0.0011000077426448721,0.032176221999999997
2014-03-07 18:15:00,18134.415923628596,38070.986899162388,1132.00731271,0.0016764263668954771,-0.0010880710995521709,0.030380359999999999
2014-03-07 18:20:00,18134.935434118088,38070.653622480808,1140.8562549000001,0.001670101659560209,-0.0010751228493787763,0.028569982000000004
2014-03-07 18:25:00,18135.453068159219,38070.324423683945,1149.1600564,0.0016646853249100483,-0.0010612444657327716,0.026745950999999994
2014-03-07 18:30:00,18135.969324512713,38069.999462708176,1156.9147491199999,0.0016601948268625065,-0.0010465215774855905,0.024909138000000001
2014-03-07 18:35:00,18136.484259994344,38069.679086991811,1164.11662705,0.0016566466900578101,-0.0010310388794023647,0.023060420000000005
2014-03-07 18:40:00,18136.998381824946,38069.363405526994,1170.7622479900001,0.0016540479370380327,-0.0010148812906237692,0.021200678000000001
2014-03-07 18:45:00,18137.511753079631,38069.052714269528,1176.84843518,0.0016524072967206815,-0.00099813558707612386,0.019330799999999999
2014-03-07 18:50:00,18138.024773140616,38068.747123604611,1182.3722788299999,0.0016517265944447799,-0.00098088808331053931,0.017451679000000001
2014-03-07 18:55:00,18138.537841595313,38068.446717818006,1187.3311374800001,0.0016520043043503931,-0.00096322684550260518,0.015564210999999998
2014-03-07 19:00:00,18139.051021944044,38068.151714691026,1191.7226392499999,0.0016532355278259612,-0.00094523816560821512,0.013669295999999999
2014-03-07 19:05:00,18139.564822303255,38067.862093044096,1195.5446829800001,0.0016554109055596201,-0.00092700991584226565,0.011767839999999998
2014-03-07 19:10:00,18140.079300668942,38067.57801852296,1198.79543921,0.0016585171908193135,-0.00090862761407286728,0.0098607480000000008
2014-03-07 19:15:00,18140.594957317389,38067.299417976348,1201.47335105,0.0016625364754125056,-0.00089017741704217903,0.0079489309999999994
2014-03-07 19:20:00,18141.111840119862,38067.026405401004,1203.5771349300001,0.0016674500342681617,-0.00087174623486909559,0.0060333019999999991
